height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,tackleWonTotal,tackleTotalAttempted,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,challengeLost,ranking
193,85,28,false,true,-GK-,GK,England,gb-eng,EPL,37,0,0,0,Sam Johnstone,Sam,Johnstone,105603,Goalkeeper,175,West Bromwich Albion,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.739189189189188,3330,0,188
191,91,28,false,true,-GK-,GK,England,br,EPL,33,0,3,4,Alisson,Alisson,Ramses Becker,114147,Goalkeeper,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.733939393939394,2970,1,189
185,82,28,false,true,-DL-MC-,"D(L),M(C)",England,ch,EPL,31,0,50,78,Granit Xhaka,Granit,Xhaka,89401,Midfielder,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.73258064516129,2522,28,190
196,80,23,false,true,-DC-DR-,D(CR),England,gb-eng,EPL,33,0,37,58,Tosin Adarabioyo,Tosin,Adarabioyo,136464,Defender,170,Fulham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7321212121212115,2954,21,191
191,86,33,false,true,-DC-,D(C),England,it,EPL,28,0,26,34,Angelo Ogbonna,Angelo,Ogbonna,23547,Defender,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.728571428571429,2493,8,192
190,78,23,false,true,-DC-,D(C),England,br,EPL,23,0,25,31,Gabriel Magalhães,Gabriel,dos Santos Magalhães,334087,Defender,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.72782608695652,1997,6,193
182,76,20,false,true,-ML-MR-,M(LR),England,gb-eng,EPL,23,0,23,36,Callum Hudson-Odoi,Callum,Hudson-Odoi,350088,Forward,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.726956521739131,1060,13,194
0,0,20,false,true,-DR-MR-,"D(R),M(R)",England,gb-eng,EPL,11,0,17,24,Tariq Lamptey,Tariq,Lamptey,386979,Defender,211,Brighton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.725454545454546,891,7,195
183,74,33,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,ie,EPL,35,0,33,51,David McGoldrick,David,McGoldrick,18501,Forward,163,Sheffield United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.724857142857143,2402,18,196
181,70,19,false,true,-AMR-FW-,"AM(R),FW",England,gb-eng,EPL,31,0,13,30,Mason Greenwood,Mason,Greenwood,367782,Forward,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.71967741935484,1826,17,197
178,68,22,false,true,-AMC-AMR-,AM(CR),England,no,EPL,14,0,9,19,Martin Ødegaard,Martin,Ødegaard,247454,Midfielder,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.718571428571429,866,10,198
178,68,24,false,true,-DL-ML-,"D(L),M(L)",England,es,EPL,27,0,47,72,Sergio Reguilón,Sergio,Reguilón,362275,Defender,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7162962962962975,2249,25,199
168,62,28,false,true,-DL-ML-,"D(L),M(L)",England,gb-eng,EPL,25,0,44,63,Conor Townsend,Conor,Townsend,108640,Defender,175,West Bromwich Albion,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7156,2235,19,200
186,86,21,false,true,-DC-,D(C),England,tr,EPL,9,0,19,22,Ozan Kabak,Ozan,Kabak,356743,Defender,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.715555555555557,803,3,201
180,78,32,false,true,-DL-DR-MR-,"D(LR),M(R)",England,gb-eng,EPL,34,0,54,95,Matthew Lowton,Matthew,Lowton,80067,Defender,184,Burnley,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.714999999999999,3060,41,202
193,87,27,false,true,-DC-,D(C),England,es,EPL,10,0,15,20,Pablo Marí,Pablo,Marí,141032,Defender,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.714,900,5,203
198,89,31,false,true,-GK-,GK,England,se,EPL,7,0,0,0,Robin Olsen,Robin,Olsen,41554,Goalkeeper,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7128571428571435,630,0,204
191,87,32,false,true,-GK-,GK,England,gb-eng,EPL,1,0,0,0,David Button,David,Button,34388,Goalkeeper,175,West Bromwich Albion,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.71,90,0,205
188,82,29,false,true,-DC-,D(C),England,py,EPL,14,0,24,33,Fabián Balbuena,Fabián,Balbuena,282871,Defender,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.708571428571429,1198,9,206
0,0,20,false,true,-DC-,D(C),England,gb-eng,EPL,9,0,6,6,Rhys Williams,Rhys,Williams,401782,Defender,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.706666666666667,661,0,207
180,65,28,false,true,-MC-MR-,M(CR),England,ma,EPL,23,0,14,28,Hakim Ziyech,Hakim,Ziyech,115868,Midfielder,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.706521739130435,1180,14,208
189,77,25,false,true,-DC-,D(C),England,pl,EPL,36,0,37,61,Jan Bednarek,Jan,Bednarek,136742,Defender,18,Southampton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.701666666666667,3104,24,209
184,76,22,false,true,-DC-DR-,D(CR),England,gb-eng,EPL,6,0,5,7,Japhet Tanganga,Japhet,Tanganga,384063,Defender,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.698333333333333,489,2,210
0,0,21,false,true,-DL-,D(L),England,gb-eng,EPL,19,0,65,82,Tyrick Mitchell,Tyrick,Mitchell,389579,Defender,162,Crystal Palace,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.697894736842105,1710,17,211
183,78,20,false,true,-DC-DMC-,"D(C),DMC",England,gb-wls,EPL,25,0,57,83,Ethan Ampadu,Ethan,Ampadu,322418,Defender,163,Sheffield United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.6975999999999996,2091,26,212
190,80,23,false,true,-FW-,FW,England,gb-eng,EPL,22,0,7,13,Tammy Abraham,Tammy,Abraham,317506,Forward,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.695909090909091,1036,6,213
201,93,33,false,true,-GK-,GK,England,gb-eng,EPL,8,0,1,2,Fraser Forster,Fraser,Forster,29796,Goalkeeper,18,Southampton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.695,720,1,214
187,80,26,false,true,-DC-DR-,D(CR),England,se,EPL,29,0,22,34,Victor Lindelöf,Victor,Lindelöf,100008,Defender,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.694482758620691,2586,12,215
