name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackles_won,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Theo Corbeanu,Forward,0,0,2,1,1,0,2,1,0,0,0,0,0,Premier League,8
Ryan Bertrand,Defender,8,3,1197,14,29,1,60,30,0,0,5,0,0,Premier League,2599
Dennis Praet,Midfielder,8,2,294,7,15,1,14,7,0,0,0,0,1,Premier League,724
Steven Alzate,Midfielder,7,2,437,11,15,0,17,8,0,0,2,0,1,Premier League,898
Bernard,Forward,6,2,252,10,12,0,8,8,0,0,2,0,1,Premier League,450
Grady Diangana,Midfielder,14,4,336,5,20,0,35,16,0,0,0,0,1,Premier League,1239
Callum Robinson,Forward,31,11,390,16,28,0,7,7,0,0,0,0,5,Premier League,1567
Manuel Lanzini,Midfielder,12,3,370,11,17,1,9,7,0,0,1,0,1,Premier League,560
Eric Bailly,Defender,2,0,562,0,12,0,5,13,0,0,3,0,0,Premier League,915
Daniel Amartey,Defender,3,1,454,0,13,0,11,12,0,0,3,0,1,Premier League,722
Takumi Minamino,Forward,7,3,138,0,9,0,4,2,0,0,0,0,1,Premier League,289
Ben Osborn,Midfielder,9,4,743,17,24,0,33,12,0,0,1,0,1,Premier League,1606
Semi Ajayi,Defender,13,4,937,7,33,0,40,42,0,1,3,0,2,Premier League,2780
Sam Field,Midfielder,0,0,24,0,3,0,5,2,0,0,0,0,0,Premier League,62
Tim Ream,Defender,0,0,468,0,7,0,12,6,0,0,0,0,0,Premier League,630
Percy Tau,Forward,0,0,31,3,3,1,1,0,0,0,0,0,0,Premier League,102
Xherdan Shaqiri,Midfielder,11,0,399,19,14,2,7,2,0,0,2,0,0,Premier League,553
Joe Bryan,Defender,8,2,314,5,16,0,15,14,0,0,2,0,1,Premier League,666
Phil Bardsley,Defender,3,0,109,0,4,0,6,6,0,0,2,0,0,Premier League,273
Josh Maja,Forward,21,8,180,7,15,0,7,4,0,0,0,0,3,Premier League,810
Fabian SchÃ¤r,Defender,12,5,581,0,18,0,13,27,0,1,4,0,1,Premier League,1247
Enda Stevens,Defender,16,4,1185,17,30,1,59,22,0,0,6,0,0,Premier League,2700
James Tomkins,Defender,2,1,182,1,8,0,4,4,0,0,1,0,0,Premier League,552
Ben Johnson,Defender,3,1,184,4,14,0,11,11,0,0,1,0,1,Premier League,519
Morgan Gibbs-White,Midfielder,10,4,222,8,11,0,9,3,0,0,1,0,1,Premier League,412
Ryan Fraser,Midfielder,13,6,262,26,18,2,4,6,0,1,0,0,0,Premier League,927
Javier Manquillo,Defender,1,0,290,5,13,0,24,9,0,0,1,0,0,Premier League,826
Carlos VinÃ­cius,Forward,7,4,46,2,9,0,3,2,0,0,2,0,1,Premier League,306
Filip Krovinovic,Midfielder,8,2,360,5,11,0,13,4,0,0,0,0,0,Premier League,545
Harry Winks,Midfielder,4,1,681,4,15,0,16,11,0,0,5,0,0,Premier League,861
Moussa Djenepo,Midfielder,14,2,382,6,27,0,52,10,0,0,5,0,1,Premier League,1240
Nampalys Mendy,Midfielder,4,2,973,5,23,1,26,14,0,0,5,0,0,Premier League,1458
Matej Vydra,Forward,35,10,236,14,28,2,9,6,0,0,0,0,3,Premier League,1368
Sean Longstaff,Midfielder,15,5,558,12,22,1,31,19,0,0,2,0,0,Premier League,1406
Erik Lamela,Midfielder,21,9,338,9,23,0,17,6,0,1,4,0,1,Premier League,708
Keinan Davis,Forward,9,2,73,6,15,1,2,0,0,0,0,0,1,Premier League,266
Ki-Jana Hoever,Defender,1,0,291,3,12,0,14,9,0,0,1,0,0,Premier League,574
Jack O'Connell,Defender,0,0,77,0,2,0,3,2,0,0,0,0,0,Premier League,180
George Baldock,Defender,13,2,897,18,32,2,47,25,0,0,7,0,0,Premier League,2789
DeAndre Yedlin,Defender,2,0,135,3,6,0,9,7,0,0,0,0,0,Premier League,437
Owen Otasowie,Midfielder,4,0,59,2,6,1,5,3,0,0,1,0,0,Premier League,187
Donny van de Beek,Midfielder,2,1,273,3,19,1,15,6,0,0,1,0,1,Premier League,515
Matt Phillips,Midfielder,22,10,478,26,33,1,15,10,0,0,1,0,2,Premier League,1829
Ross Barkley,Midfielder,1,1,27,1,2,0,0,0,0,0,0,0,0,Premier League,40
Jairo Riedewald,Midfielder,8,2,630,12,33,0,34,29,0,0,4,0,2,Premier League,1819
Jamal Lewis,Defender,3,1,650,14,24,1,37,11,0,0,4,0,0,Premier League,1833
Nathaniel Clyne,Defender,4,1,443,4,13,1,17,18,0,0,2,0,0,Premier League,1147
Jeff Hendrick,Midfielder,10,2,538,6,22,1,8,19,0,1,1,0,2,Premier League,1423
Eddie Nketiah,Forward,12,5,91,8,17,1,3,0,0,0,0,0,2,Premier League,415
Michy Batshuayi,Forward,12,6,167,9,18,1,5,3,0,0,0,0,2,Premier League,724
